,date,numTweets,pandemic,dayOfWeek,score
454,2015-03-31,13,0,Tuesday,-0.06605512820512822
455,2015-04-01,19,0,Wednesday,-0.004184210526315785
456,2015-04-02,11,0,Thursday,-0.002875757575757577
457,2015-04-03,7,0,Friday,-0.020742857142857136
458,2015-04-04,6,0,Saturday,-0.06188055555555555
459,2015-04-05,2,0,Sunday,-0.12333333333333332
460,2015-04-06,2,0,Monday,0.184
461,2015-04-07,38,0,Tuesday,-0.031579824561403506
462,2015-04-08,9,0,Wednesday,0.3738222222222222
463,2015-04-09,3,0,Thursday,0.025175
464,2015-04-10,3,0,Friday,-0.08333333333333333
465,2015-04-11,7,0,Saturday,-0.015064285714285712
466,2015-04-12,8,0,Sunday,-0.09076458333333332
467,2015-04-13,9,0,Monday,0.1155962962962963
468,2015-04-14,10,0,Tuesday,-0.14597
469,2015-04-15,25,0,Wednesday,-0.062147999999999995
470,2015-04-16,45,0,Thursday,0.03393
471,2015-04-17,7,0,Friday,0.049228571428571434
472,2015-04-18,12,0,Saturday,0.09545
473,2015-04-19,10,0,Sunday,0.24277
474,2015-04-20,2,0,Monday,0.159225
475,2015-04-21,12,0,Tuesday,-0.015454166666666665
476,2015-04-22,8,0,Wednesday,0.18991875
477,2015-04-23,7,0,Thursday,0.021866666666666673
478,2015-04-24,6,0,Friday,0.17818888888888887
479,2015-04-25,5,0,Saturday,0.258368
480,2015-04-26,4,0,Sunday,0.130195
481,2015-04-27,10,0,Monday,0.15393
482,2015-04-28,7,0,Tuesday,-0.013838095238095245
483,2015-04-29,20,0,Wednesday,-0.08962633333333331
484,2015-04-30,5,0,Thursday,0.023945
485,2015-05-01,11,0,Friday,-0.005580303030303039
486,2015-05-02,7,0,Saturday,-0.03802857142857142
487,2015-05-03,5,0,Sunday,0.02036
488,2015-05-04,5,0,Monday,0.09706000000000001
489,2015-05-05,7,0,Tuesday,-0.06669761904761903
490,2015-05-06,5,0,Wednesday,0.3424583333333333
491,2015-05-07,10,0,Thursday,0.03748
492,2015-05-08,6,0,Friday,0.07689722222222224
493,2015-05-09,8,0,Saturday,-0.015199999999999995
494,2015-05-10,4,0,Sunday,0.1873125
495,2015-05-11,0,0,Monday,0.0
496,2015-05-12,4,0,Tuesday,-0.08846666666666667
497,2015-05-13,7,0,Wednesday,-0.015302380952380948
498,2015-05-14,5,0,Thursday,0.056100000000000004
499,2015-05-15,4,0,Friday,0.14945000000000003
500,2015-05-16,3,0,Saturday,0.04013333333333333
501,2015-05-17,6,0,Sunday,-0.20309583333333334
502,2015-05-18,4,0,Monday,-0.02
503,2015-05-19,5,0,Tuesday,0.1113
504,2015-05-20,15,0,Wednesday,-0.056083333333333325
505,2015-05-21,6,0,Thursday,0.049741666666666684
506,2015-05-22,8,0,Friday,0.092275
507,2015-05-23,31,0,Saturday,0.06293870967741935
508,2015-05-24,35,0,Sunday,0.001034285714285716
509,2015-05-25,6,0,Monday,0.06894444444444443
510,2015-05-26,9,0,Tuesday,-0.14973888888888887
511,2015-05-27,7,0,Wednesday,-0.14358095238095236
512,2015-05-28,16,0,Thursday,-0.19168645833333334
513,2015-05-29,8,0,Friday,0.016204166666666672
514,2015-05-30,7,0,Saturday,-0.012621428571428565
515,2015-05-31,4,0,Sunday,-0.1552666666666667
516,2015-06-01,7,0,Monday,0.05057142857142858
517,2015-06-02,7,0,Tuesday,0.1593035714285714
518,2015-06-03,4,0,Wednesday,0.10866250000000001
519,2015-06-04,8,0,Thursday,0.07173645833333335
