date,line,type
24-Nov-19,1,Weekend
26-Nov-19,2,Early closure
27-Nov-19,2,Early closure
28-Nov-19,2,Early closure
30-Nov-19,1,Weekend
01-Dec-19,1,Weekend
07-Dec-19,1,Weekend
08-Dec-19,1,Weekend
15-Dec-19,2,One day
11-Jan-20,1,Weekend
12-Jan-20,1,Weekend
18-Jan-20,1,Weekend
19-Jan-20,1,Weekend
20-Jan-20,1,Early closure
21-Jan-20,1,Early closure
22-Jan-20,1,Early closure
23-Jan-20,1,Early closure
25-Jan-20,1,Weekend
26-Jan-20,1,Weekend
27-Jan-20,1,Early closure
28-Jan-20,1,Early closure
29-Jan-20,1,Early closure
30-Jan-20,1,Early closure
01-Feb-20,1,Weekend
02-Feb-20,1,Weekend
03-Feb-20,2,Early closure
04-Feb-20,2,Early closure
05-Feb-20,2,Early closure
06-Feb-20,2,Early closure
08-Feb-20,1,Weekend
09-Feb-20,1,Weekend
10-Feb-20,2,Early closure
11-Feb-20,2,Early closure
12-Feb-20,2,Early closure
13-Feb-20,2,Early closure
18-Feb-20,1,Early closure
19-Feb-20,1,Early closure
20-Feb-20,1,Early closure
21-Feb-20,1,Weekend
22-Feb-20,1,Weekend
23-Feb-20,1,Weekend
24-Feb-20,1,Early closure
25-Feb-20,1,Early closure
26-Feb-20,1,Early closure
27-Feb-20,1,Early closure
29-Feb-20,1,Weekend
01-Mar-20,1,Weekend
02-Mar-20,1,Early closure
03-Mar-20,1,Early closure
04-Mar-20,1,Early closure
05-Mar-20,1,Early closure
07-Mar-20,1,Weekend
08-Mar-20,1,Weekend
09-Mar-20,1,Early closure
10-Mar-20,1,Early closure
11-Mar-20,1,Early closure
12-Mar-20,1,Early closure
21-Mar-20,1,Weekend
22-Mar-20,1,Weekend
29-Mar-20,1,One day
19-Apr-20,1,One day
26-Apr-20,1,One day
03-May-20,1,One day
04-May-20,2,Early closure
05-May-20,2,Early closure
06-May-20,2,Early closure
07-May-20,2,Early closure
10-May-20,1,One day
11-May-20,1,Early closure
12-May-20,1,Early closure
13-May-20,1,Early closure
14-May-20,1,Early closure
16-May-20,1,One day
19-May-20,1,Early closure
20-May-20,1,Early closure
21-May-20,1,Early closure
23-May-20,1,Weekend
24-May-20,1,Weekend
25-May-20,1,Early closure
26-May-20,1,Early closure
27-May-20,1,Early closure
28-May-20,1,Early closure
30-May-20,1,Weekend
31-May-20,1,Weekend
01-Jun-20,1,Early closure
02-Jun-20,1,Early closure
03-Jun-20,1,Early closure
04-Jun-20,1,Early closure
06-Jun-20,1,Weekend
07-Jun-20,1,Weekend
07-Jun-20,3,One day
08-Jun-20,1,Early closure
09-Jun-20,1,Early closure
10-Jun-20,1,Early closure
11-Jun-20,1,Early closure
13-Jun-20,1,Weekend
14-Jun-20,1,Weekend
15-Jun-20,1,Early closure
16-Jun-20,1,Early closure
17-Jun-20,1,Early closure
18-Jun-20,1,Early closure
20-Jun-20,1,Weekend
21-Jun-20,1,Weekend
25-Jun-20,1,Other
26-Jun-20,1,Other
27-Jun-20,1,Weekend
28-Jun-20,1,Weekend
06-Jul-20,2,Early closure
07-Jul-20,2,Early closure
08-Jul-20,2,Early closure
09-Jul-20,2,Early closure
11-Jul-20,2,Weekend
12-Jul-20,2,Weekend
13-Jul-20,2,Early closure
14-Jul-20,2,Early closure
15-Jul-20,2,Early closure
16-Jul-20,2,Early closure
18-Jul-20,1,Weekend
19-Jul-20,1,Weekend
20-Jul-20,2,Early closure
21-Jul-20,2,Early closure
22-Jul-20,2,Early closure
23-Jul-20,2,Early closure
24-Jul-20,2,Late opening
01-Aug-20,2,Weekend
02-Aug-20,2,Weekend
04-Aug-20,2,Early closure
05-Aug-20,2,Early closure
06-Aug-20,2,Early closure
13-Aug-20,1,Early closure
15-Aug-20,2,Late opening
22-Aug-20,1,Weekend
23-Aug-20,1,Weekend
30-Aug-20,1,One day
31-Aug-20,1,Early closure
01-Sep-20,1,Early closure
02-Sep-20,1,Early closure
03-Sep-20,1,Early closure
08-Sep-20,1,Early closure
09-Sep-20,1,Early closure
10-Sep-20,1,Early closure
12-Sep-20,3,Weekend
13-Sep-20,3,Weekend
19-Sep-20,1,One day
20-Sep-20,2,One day
21-Sep-20,1,Early closure
22-Sep-20,1,Early closure
23-Sep-20,1,Early closure
24-Sep-20,1,Early closure
26-Sep-20,1,Weekend
27-Sep-20,1,Weekend
03-Oct-20,2,Weekend
04-Oct-20,2,Weekend
05-Oct-20,1,Early closure
06-Oct-20,1,Early closure
07-Oct-20,1,Early closure
08-Oct-20,1,Early closure
11-Oct-20,2,One day
13-Oct-20,1,Early closure
14-Oct-20,1,Early closure
15-Oct-20,1,Early closure
17-Oct-20,1,Weekend
18-Oct-20,1,Weekend
